contigName	contigLen	totalAvgDepth	edges.bam	edges.bam-var
edge_1	473142	15.1883	15.1883	33.4867
edge_2	161252	15.7784	15.7784	16.5851
edge_3	50110	17.9182	17.9182	8.04152
edge_4	57959	13.8349	13.8349	9.52512
edge_5	369604	14.1125	14.1125	10.5999
edge_6	214782	15.7447	15.7447	12.116
edge_7	396917	15.5009	15.5009	11.6951
edge_8	230528	70.84	70.84	115.806
edge_9	84080	11.5292	11.5292	15.7668
edge_10	2.43523e+06	16.2913	16.2913	2058.31
edge_11	37465	3.5691	3.5691	5.25198
edge_12	39652	13.8287	13.8287	7.4021
edge_13	262411	16.0359	16.0359	16.7146
edge_14	27710	5.14358	5.14358	0.926145
edge_15	3.18919e+06	19.8417	19.8417	23.1667
edge_16	15193	3.62979	3.62979	2.63529
edge_17	5099	0.0307133	0.0307133	0.0297767
edge_18	2207	7.99076	7.99076	0.00915584
edge_19	115764	3.81801	3.81801	4.07414
edge_20	8836	7.35574	7.35574	1.68434
edge_21	321377	5.52484	5.52484	4.7913
edge_22	1.34726e+06	8.092	8.092	11.6953
edge_23	17319	5.49997	5.49997	0.522149
edge_24	7034	2.50959	2.50959	0.703876
edge_25	432384	7.41171	7.41171	16.54
edge_26	313840	7.7614	7.7614	7.98776
edge_27	7137	5.15987	5.15987	0.730677
edge_28	8735	9.37239	9.37239	2.08087
edge_29	50547	5.72201	5.72201	11.2666
edge_30	4161	6.14311	6.14311	0.278286
edge_31	4425	4.97567	4.97567	0.226833
edge_32	4534	20.9626	20.9626	13.4703
edge_33	107737	60.254	60.254	210.671
edge_34	2408	17	17	0.763846
edge_35	518	1.70924	1.70924	0.206781
edge_36	7588	34.8594	34.8594	9.89503
edge_37	10096	5.59009	5.59009	2.51209
edge_38	1636	0	0	0
edge_39	1382	1.54627	1.54627	0.493386
edge_40	18543	96.6902	96.6902	64.9743
edge_41	23609	44.587	44.587	64.8156
edge_42	1381	3.2632	3.2632	2.277
edge_43	37234	63.7647	63.7647	446.902
edge_44	6346	57.6741	57.6741	18.784
edge_45	2.57342e+06	12.6081	12.6081	12.4606
edge_46	239872	15.0016	15.0016	27.3093
